latitude,longitude
44.82472,28.94972
44.82138,28.94972
44.77833,28.92694
44.75555,28.90722
44.75527,28.89611
44.7511,28.87222
44.74694,28.85972
44.71944,28.79833
44.71333,28.79333
44.69749,28.78305
44.69387,28.78111
44.65706,28.77914
44.64748,28.78389
44.63999,28.79277
44.63944,28.79916
44.64137,28.81416
44.64582,28.84361
44.6486,28.85166
44.68443,28.90444
44.68665,28.90749
44.68971,28.90999
44.69234,28.9104
44.69832,28.90527
44.70694,28.89833
44.71082,28.89972
44.70998,28.90416
44.70123,28.93003
44.69916,28.95416
44.69776,28.95916
44.68888,28.98777
44.6872,28.99194
44.68471,28.99472
44.68082,28.99527
44.67694,28.99388
44.64555,28.97222
44.64249,28.96971
44.63081,28.95527
44.62888,28.95166
44.62776,28.94694
44.62999,28.9436
44.63304,28.94138
44.63666,28.94222
44.65665,28.95832
44.66249,28.96916
44.66721,28.97527
44.67333,28.98027
44.67722,28.98166
44.68055,28.98027
44.68277,28.97694
44.68971,28.96027
44.68998,28.95444
44.61695,28.81967
44.63084,28.79652
44.62972,28.76749
44.62805,28.76361
44.62528,28.76055
44.61805,28.75583
44.61444,28.75444
44.51972,28.7575
44.52577,28.80322
44.53711,28.81305
44.61749,28.92777
44.58805,28.91305
44.54221,28.88194
44.52916,28.87167
44.49721,28.84528
44.48222,28.83139
44.47694,28.82527
44.46383,28.80566
44.46283,28.80317
44.45533,28.79016
44.43139,28.75805
44.42083,28.74555
44.33138,28.64527
44.32805,28.64277
44.31194,28.635
44.29861,28.62999
44.29443,28.62917
44.27194,28.62888
44.15749,28.63277
43.97555,28.66028
43.95443,28.64722
43.88165,28.61361
43.83166,28.59499
43.80082,28.58528
43.76471,28.57944
43.75804,28.57944
43.74777,28.58324
43.74416,28.485
43.75028,28.40389
43.76444,28.25777
43.77,28.23555
43.78527,28.18194
43.80166,28.13305
43.83166,28.04722
43.83917,28.02972
43.8536,28.00194
43.85915,27.99722
43.87167,27.99111
43.93833,27.96222
43.95165,27.95833
43.95888,27.95777
43.97277,27.95472
43.97888,27.95166
43.98722,27.94472
44.00277,27.92777
44.00555,27.91888
44.00443,27.91444
43.97749,27.85278
43.96916,27.83333
43.96583,27.82027
43.96417,27.80611
43.95916,27.74722
43.95972,27.73638
43.9611,27.73083
43.96694,27.71777
43.97166,27.71166
43.97722,27.70694
43.99361,27.69835
44.02082,27.68472
44.03,27.67944
44.03278,27.67694
44.03527,27.67388
44.04083,27.66083
44.0425,27.65611
44.04305,27.65056
44.04028,27.64222
44.0336,27.63194
44.03027,27.62972
44.02527,27.62333
44.0236,27.61416
44.01944,27.47583
44.02055,27.41694
44.02194,27.4
44.08054,27.3
44.08805,27.29055
44.10222,27.27972
44.13215,27.27271
44.12499,27.25055
44.12167,27.23778
44.11999,27.22278
44.12221,27.19972
44.12444,27.18749
44.12999,27.16583
44.14083,27.11111
44.14734,27.03643
44.13612,26.9134
44.13199,26.89021
44.11556,26.84083
44.09528,26.79472
44.07194,26.6711
44.04943,26.47861
44.04131,26.43842
44.04313,26.41304
44.04443,26.39139
44.04332,26.38194
44.03082,26.30194
43.98638,26.14416
43.97916,26.12861
43.96832,26.11166
43.85222,25.9475
43.84472,25.93805
43.7991,25.88724
43.79221,25.8825
43.77882,25.87826
43.71305,25.78694
43.70554,25.7725
43.70111,25.76055
43.69512,25.73925
43.69408,25.73138
43.69043,25.68134
43.66221,25.60916
43.6436,25.53194
43.63921,25.46385
43.63011,25.44095
43.62678,25.43023
43.62472,25.41611
43.62332,25.39611
43.62244,25.38071
43.62277,25.37528
43.62472,25.36305
43.62999,25.34889
43.63693,25.33944
43.65222,25.31444
43.67249,25.27527
43.67806,25.26194
43.68749,25.22472
43.71019,25.02275
43.71222,24.88139
43.71278,24.79361
43.71417,24.72278
43.71527,24.70556
43.71838,24.68693
43.74916,24.61333
43.75388,24.59833
43.75916,24.5625
43.76111,24.52861
43.76222,24.50639
43.76028,24.49722
43.74472,24.45778
43.73638,24.43861
43.71972,24.40528
43.69972,24.36472
43.69805,24.36083
43.69555,24.3525
43.69416,24.34305
43.69663,24.31971
43.6975,24.30778
43.6975,24.28639
43.69444,24.25722
43.68527,24.19555
43.68444,24.18583
43.68472,24.18
43.68991,24.15562
43.69991,24.11608
43.72063,24.06798
43.74416,23.9875
43.78833,23.77417
43.795,23.62972
43.7961,23.6125
43.79861,23.60167
43.80694,23.57027
43.81933,23.53935
43.82552,23.52804
43.83538,23.516
43.83773,23.50703
43.85111,23.44666
43.85523,23.42715
43.85617,23.41822
43.85083,23.28361
43.84924,23.26901
43.84632,23.25514
43.83866,23.2245
43.83138,23.19861
43.81823,23.16211
43.8111,23.1475
43.80833,23.13889
43.80218,23.07146
43.80218,23.0636
43.81694,22.96694
43.83611,22.89444
43.8425,22.87528
43.84833,22.86333
43.85326,22.85747
43.86821,22.84762
43.88828,22.84069
43.90506,22.84324
43.98167,22.87972
43.98805,22.88472
43.99889,22.90694
44.00284,22.91986
44.01228,22.95943
44.01138,22.98222
44.01167,22.9875
44.01416,22.99583
44.0178,23.00341
44.04472,23.0325
44.05666,23.04277
44.06056,23.04444
44.06916,23.04611
44.07611,23.04417
44.08444,23.03722
44.09277,23.02194
44.09944,23.00361
44.10063,22.99744
44.10361,22.95139
44.10444,22.94527
44.1086,22.92167
44.11361,22.9075
44.21222,22.69694
44.21889,22.68639
44.2247,22.68144
44.26416,22.69167
44.27166,22.69111
44.27777,22.6875
44.28249,22.68083
44.28639,22.67278
44.29055,22.65778
44.29417,22.64111
44.29804,22.61668
44.30083,22.59194
44.30472,22.57611
44.30833,22.56722
44.32305,22.54972
44.33639,22.53694
44.34528,22.53
44.45,22.46333
44.4532,22.46171
44.4667,22.45733
44.47436,22.45733
44.48222,22.46
44.48444,22.46306
44.5461,22.58222
44.54916,22.59028
44.55222,22.60944
44.55111,22.62139
44.54861,22.6325
44.54305,22.64555
44.53055,22.66777
44.52398,22.68682
44.52252,22.69959
44.52389,22.70916
44.53166,22.73472
44.53444,22.74305
44.53972,22.75444
44.54441,22.76088
44.54733,22.76343
44.55134,22.76526
44.5552,22.76578
44.55901,22.76489
44.56192,22.7627
44.60249,22.71722
44.60472,22.71389
44.60667,22.71
44.61889,22.67194
44.62,22.65972
44.61861,22.64444
44.61889,22.62222
44.62055,22.60972
44.62222,22.60472
44.62805,22.5925
44.63861,22.57444
44.65861,22.54305
44.67472,22.51972
44.68472,22.50805
44.695,22.49694
44.70333,22.49
44.71027,22.47916
44.71361,22.46972
44.71555,22.45778
44.71444,22.43639
44.71333,22.43166
44.71027,22.42361
44.66833,22.32055
44.66416,22.31361
44.65778,22.30861
44.64583,22.30361
44.63583,22.29778
44.60416,22.27333
44.49389,22.18722
44.48194,22.17694
44.47861,22.16889
44.47916,22.14639
44.48138,22.12861
44.49027,22.10667
44.49833,22.09111
44.50305,22.08444
44.55167,22.03944
44.5575,22.03555
44.56444,22.03333
44.58942,22.03126
44.59389,22.02916
44.62861,22.00389
44.6311,22.00139
44.63555,21.99389
44.63694,21.98889
44.64944,21.90916
44.66194,21.78361
44.65694,21.73861
44.65472,21.72972
44.65694,21.65555
44.65778,21.64944
44.66083,21.63972
44.66499,21.63222
44.67222,21.62278
44.67833,21.61833
44.68861,21.615
44.69222,21.61472
